object_id	accession	analytical_unit	file_name	md5	status	notes
GSE157827_stepH	GSE157827	AD_PFC	stepH_obj_celltype6_named.rds	not_calculated	not_archived_reproducible_from_public_raw_data	Generated by code/01_per_dataset/GSE157827 from public GEO raw counts; not stored in GitHub.
GSE174367_stepH	GSE174367	AD_PFC	stepH_obj_celltype6_named.rds	not_calculated	not_archived_reproducible_from_public_raw_data	Generated by code/01_per_dataset/GSE174367 from public GEO raw counts; not stored in GitHub.
syn21788402_EC_stepH	syn21788402	AD_EC	stepH_syn21788402_EC_obj_labeled_celltype7_celltype6.rds	5b886962e4c483e507dd571c93c45f3c	not_archived_reproducible_from_public_author_sce	Generated by code/01_per_dataset/syn21788402 from author-provided public SCE; descriptive-only n = 3 vs 3 analytical unit.
syn21788402_SFG_stepH	syn21788402	AD_SFG	stepH_syn21788402_SFG_obj_celltype6.rds	8eba6245c8bf5c26b08be5f9a2f47ee7	not_archived_reproducible_from_public_author_sce	Generated by code/01_per_dataset/syn21788402 from author-provided public SCE; descriptive-only n = 3 vs 3 analytical unit.
syn52082747_3regions_full_seurat	syn52082747	AD_FTD_PSP_V1_insula_preCG	syn52082747_3regions_stepH_slim_uncompressed_full_seurat.rds	not_calculated_large_file	not_archived_reproducible_from_public_author_object_and_metadata	Final region-resolved full Seurat object generated directly from the public author-processed object and source metadata by code/01_per_dataset/syn52082747; 30,309 genes and 590,224 cells; no local historical StepH RDS prerequisite; not stored in GitHub.
