accession	repository	region	disease_groups	analysis_status	notes
GSE157827	GEO	PFC	AD, Control	inferentially_eligible	Included raw-count dataset reprocessed in this study and harmonized to six major cell classes.
GSE174367	GEO	PFC	AD, Control	inferentially_eligible	Included raw-count dataset reprocessed in this study and harmonized to six major cell classes.
syn21788402	Synapse/AMP-AD	EC	AD, Control	descriptive_only_n3v3	Author-provided public SCE object; EC has n = 3 vs 3 and is retained as descriptive only.
syn21788402	Synapse/AMP-AD	SFG	AD, Control	descriptive_only_n3v3	Author-provided public SCE object; SFG has n = 3 vs 3 and is retained as descriptive only.
syn52082747	Synapse/AMP-AD	V1	AD, FTD/PiD, PSP, Control	inferentially_eligible	Author-processed public object; final Route C analysis resolves V1, insula and preCG as separate disease-region analytical units.
syn52082747	Synapse/AMP-AD	insula	AD, FTD/PiD, PSP, Control	inferentially_eligible	Author-processed public object; final Route C analysis resolves V1, insula and preCG as separate disease-region analytical units.
syn52082747	Synapse/AMP-AD	preCG	AD, FTD/PiD, PSP, Control	inferentially_eligible	Author-processed public object; final Route C analysis resolves V1, insula and preCG as separate disease-region analytical units.
GSE155114	GEO	CTE screened dataset	CTE, Control	not_retained	Screened but not retained because it did not meet the final comparability/metadata requirements.
GSE261807	GEO	CTE screened dataset	CTE, Control	not_retained	Screened but not retained because it did not meet the final comparability/metadata requirements.
